suite,variant,size,threads,milliseconds,completed,details,repetition
queue,mpmc,100003,4,7.2294,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,0
queue,mpsc,100003,4,7.4892,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,0
queue,mpsc,100003,4,6.7382,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,1
queue,mpmc,100003,4,9.0462,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,1
queue,mpmc,100003,4,9.323,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,2
queue,mpsc,100003,4,16.7129,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,2
queue,mpmc,100003,4,7.7961,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,3
queue,mpsc,100003,4,7.703,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,3
queue,mpmc,100003,4,8.0734,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,4
queue,mpsc,100003,4,7.7585,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,4
