suite,variant,size,threads,milliseconds,completed,details,repetition
queue,spsc-cached,100003,2,1.2705,100003,P=1;C=1;capacity=64;batch=1;bounded;observed-empty-full;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,0
queue,spsc,100003,2,1.2044,100003,P=1;C=1;capacity=64;batch=1;bounded;observed-empty-full;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,0
queue,spsc,100003,2,1.3088,100003,P=1;C=1;capacity=64;batch=1;bounded;observed-empty-full;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,1
queue,spsc-cached,100003,2,1.4468,100003,P=1;C=1;capacity=64;batch=1;bounded;observed-empty-full;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,1
queue,spsc-cached,100003,2,1.373,100003,P=1;C=1;capacity=64;batch=1;bounded;observed-empty-full;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,2
queue,spsc,100003,2,1.2527,100003,P=1;C=1;capacity=64;batch=1;bounded;observed-empty-full;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,2
queue,spsc-cached,100003,2,1.8191,100003,P=1;C=1;capacity=64;batch=1;bounded;observed-empty-full;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,3
queue,spsc,100003,2,1.2511,100003,P=1;C=1;capacity=64;batch=1;bounded;observed-empty-full;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,3
queue,spsc-cached,100003,2,1.3023,100003,P=1;C=1;capacity=64;batch=1;bounded;observed-empty-full;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,4
queue,spsc,100003,2,1.5345,100003,P=1;C=1;capacity=64;batch=1;bounded;observed-empty-full;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,4
