suite,variant,size,threads,milliseconds,completed,details,repetition
numa,parallel-init,1048576,2,0.6051,131072,size=bytes; completed=uint64 words; includes reader creation binding page-pointer scan join; excludes allocation initial touch pre-read queries; independent-base-page-reservations; reservations=256; allocation_granularity=65536; page_bytes=4096,0
numa,local,1048576,1,0.1607,131072,size=bytes; completed=uint64 words; includes reader creation binding page-pointer scan join; excludes allocation initial touch pre-read queries; independent-base-page-reservations; reservations=256; allocation_granularity=65536; page_bytes=4096,0
numa,firsttouch,1048576,2,0.1593,131072,size=bytes; completed=uint64 words; includes reader creation binding page-pointer scan join; excludes allocation initial touch pre-read queries; independent-base-page-reservations; reservations=256; allocation_granularity=65536; page_bytes=4096,0
numa,firsttouch,1048576,2,0.3388,131072,size=bytes; completed=uint64 words; includes reader creation binding page-pointer scan join; excludes allocation initial touch pre-read queries; independent-base-page-reservations; reservations=256; allocation_granularity=65536; page_bytes=4096,1
numa,parallel-init,1048576,2,0.128,131072,size=bytes; completed=uint64 words; includes reader creation binding page-pointer scan join; excludes allocation initial touch pre-read queries; independent-base-page-reservations; reservations=256; allocation_granularity=65536; page_bytes=4096,1
numa,local,1048576,1,0.1511,131072,size=bytes; completed=uint64 words; includes reader creation binding page-pointer scan join; excludes allocation initial touch pre-read queries; independent-base-page-reservations; reservations=256; allocation_granularity=65536; page_bytes=4096,1
numa,firsttouch,1048576,2,0.1532,131072,size=bytes; completed=uint64 words; includes reader creation binding page-pointer scan join; excludes allocation initial touch pre-read queries; independent-base-page-reservations; reservations=256; allocation_granularity=65536; page_bytes=4096,2
numa,parallel-init,1048576,2,0.1587,131072,size=bytes; completed=uint64 words; includes reader creation binding page-pointer scan join; excludes allocation initial touch pre-read queries; independent-base-page-reservations; reservations=256; allocation_granularity=65536; page_bytes=4096,2
numa,local,1048576,1,0.1312,131072,size=bytes; completed=uint64 words; includes reader creation binding page-pointer scan join; excludes allocation initial touch pre-read queries; independent-base-page-reservations; reservations=256; allocation_granularity=65536; page_bytes=4096,2
numa,parallel-init,1048576,2,0.2211,131072,size=bytes; completed=uint64 words; includes reader creation binding page-pointer scan join; excludes allocation initial touch pre-read queries; independent-base-page-reservations; reservations=256; allocation_granularity=65536; page_bytes=4096,3
numa,local,1048576,1,0.1639,131072,size=bytes; completed=uint64 words; includes reader creation binding page-pointer scan join; excludes allocation initial touch pre-read queries; independent-base-page-reservations; reservations=256; allocation_granularity=65536; page_bytes=4096,3
numa,firsttouch,1048576,2,0.1452,131072,size=bytes; completed=uint64 words; includes reader creation binding page-pointer scan join; excludes allocation initial touch pre-read queries; independent-base-page-reservations; reservations=256; allocation_granularity=65536; page_bytes=4096,3
numa,parallel-init,1048576,2,0.2389,131072,size=bytes; completed=uint64 words; includes reader creation binding page-pointer scan join; excludes allocation initial touch pre-read queries; independent-base-page-reservations; reservations=256; allocation_granularity=65536; page_bytes=4096,4
numa,firsttouch,1048576,2,0.1406,131072,size=bytes; completed=uint64 words; includes reader creation binding page-pointer scan join; excludes allocation initial touch pre-read queries; independent-base-page-reservations; reservations=256; allocation_granularity=65536; page_bytes=4096,4
numa,local,1048576,1,0.1187,131072,size=bytes; completed=uint64 words; includes reader creation binding page-pointer scan join; excludes allocation initial touch pre-read queries; independent-base-page-reservations; reservations=256; allocation_granularity=65536; page_bytes=4096,4
