suite,variant,size,threads,milliseconds,completed,details,repetition
policy_map_heavy,unseq,1024,1,0.0406,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_heavy,par,1024,0,0.0748,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_heavy,plain,1024,1,0.041,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_heavy,par_unseq,1024,0,0.0642,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_heavy,seq,1024,1,0.0406,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_heavy,unseq,1024,1,0.0407,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_heavy,seq,1024,1,0.0408,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_heavy,par,1024,0,0.0663,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_heavy,plain,1024,1,0.0408,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_heavy,par_unseq,1024,0,0.0891,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_heavy,seq,1024,1,0.0405,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_heavy,par,1024,0,0.0848,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_heavy,unseq,1024,1,0.0405,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_heavy,par_unseq,1024,0,0.0651,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_heavy,plain,1024,1,0.0406,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_heavy,par_unseq,1024,0,0.0631,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_heavy,unseq,1024,1,0.041,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_heavy,par,1024,0,0.09,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_heavy,plain,1024,1,0.0409,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_heavy,seq,1024,1,0.0407,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_heavy,par,1024,0,0.0901,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
policy_map_heavy,seq,1024,1,0.0407,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
policy_map_heavy,plain,1024,1,0.0405,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
policy_map_heavy,unseq,1024,1,0.0405,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
policy_map_heavy,par_unseq,1024,0,0.0857,1024,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
