suite,variant,size,threads,milliseconds,completed,details,repetition
policy_map_light,unseq,65537,1,0.0037,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_light,par,65537,0,0.0385,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_light,plain,65537,1,0.0036,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_light,par_unseq,65537,0,0.0327,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_light,seq,65537,1,0.0036,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_light,unseq,65537,1,0.004,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_light,seq,65537,1,0.0038,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_light,par,65537,0,0.0358,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_light,plain,65537,1,0.0037,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_light,par_unseq,65537,0,0.0339,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_light,seq,65537,1,0.0037,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_light,par,65537,0,0.0358,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_light,unseq,65537,1,0.0037,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_light,par_unseq,65537,0,0.039,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_light,plain,65537,1,0.0037,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_light,par_unseq,65537,0,0.0368,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_light,unseq,65537,1,0.0037,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_light,par,65537,0,0.0362,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_light,plain,65537,1,0.0042,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_light,seq,65537,1,0.0036,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_light,par,65537,0,0.0329,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
policy_map_light,seq,65537,1,0.0037,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
policy_map_light,plain,65537,1,0.0038,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
policy_map_light,unseq,65537,1,0.0041,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
policy_map_light,par_unseq,65537,0,0.0383,65537,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
