suite,variant,size,threads,milliseconds,completed,details,repetition
queue,mpmc,100003,4,7.0119,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,0
queue,mpsc,100003,4,6.522,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,0
queue,mpsc,100003,4,5.6176,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,1
queue,mpmc,100003,4,7.3753,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,1
queue,mpmc,100003,4,7.4127,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,2
queue,mpsc,100003,4,7.425,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,2
queue,mpmc,100003,4,7.4734,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,3
queue,mpsc,100003,4,6.2848,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,3
queue,mpmc,100003,4,7.147,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,4
queue,mpsc,100003,4,6.6665,100003,P=3;C=1;capacity=64;batch=1;bounded;transient-false;not-strict-lock-free-FIFO;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,4
