suite,variant,size,threads,milliseconds,completed,details,repetition
scheduling,stealing,1024,4,1.3137,1024,includes allocation; thread/pool creation; submit; compute; join; first quarter 100x rounds,0
scheduling,dynamic,1024,4,1.0726,1024,includes allocation; thread/pool creation; submit; compute; join; first quarter 100x rounds,0
scheduling,static,1024,4,2.6558,1024,includes allocation; thread/pool creation; submit; compute; join; first quarter 100x rounds,0
scheduling,dynamic,1024,4,1.172,1024,includes allocation; thread/pool creation; submit; compute; join; first quarter 100x rounds,1
scheduling,stealing,1024,4,1.9922,1024,includes allocation; thread/pool creation; submit; compute; join; first quarter 100x rounds,1
scheduling,static,1024,4,2.7318,1024,includes allocation; thread/pool creation; submit; compute; join; first quarter 100x rounds,1
scheduling,dynamic,1024,4,1.0841,1024,includes allocation; thread/pool creation; submit; compute; join; first quarter 100x rounds,2
scheduling,stealing,1024,4,1.3509,1024,includes allocation; thread/pool creation; submit; compute; join; first quarter 100x rounds,2
scheduling,static,1024,4,2.6724,1024,includes allocation; thread/pool creation; submit; compute; join; first quarter 100x rounds,2
scheduling,dynamic,1024,4,1.0615,1024,includes allocation; thread/pool creation; submit; compute; join; first quarter 100x rounds,3
scheduling,static,1024,4,3.0715,1024,includes allocation; thread/pool creation; submit; compute; join; first quarter 100x rounds,3
scheduling,stealing,1024,4,1.2851,1024,includes allocation; thread/pool creation; submit; compute; join; first quarter 100x rounds,3
scheduling,static,1024,4,2.7077,1024,includes allocation; thread/pool creation; submit; compute; join; first quarter 100x rounds,4
scheduling,dynamic,1024,4,1.0339,1024,includes allocation; thread/pool creation; submit; compute; join; first quarter 100x rounds,4
scheduling,stealing,1024,4,1.3166,1024,includes allocation; thread/pool creation; submit; compute; join; first quarter 100x rounds,4
