suite,variant,size,threads,milliseconds,completed,details,repetition
queue,ring,100003,7,14.3542,100003,P=3;C=4;capacity=64;batch=1;bounded;strict-try;prefix-batch;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,0
queue,mutex,100003,7,11.9219,100003,P=3;C=4;capacity=64;batch=1;bounded;strict-try;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,0
queue,mutex,100003,7,14.6151,100003,P=3;C=4;capacity=64;batch=1;bounded;strict-try;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,1
queue,ring,100003,7,13.9171,100003,P=3;C=4;capacity=64;batch=1;bounded;strict-try;prefix-batch;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,1
queue,ring,100003,7,13.8961,100003,P=3;C=4;capacity=64;batch=1;bounded;strict-try;prefix-batch;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,2
queue,mutex,100003,7,13.3535,100003,P=3;C=4;capacity=64;batch=1;bounded;strict-try;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,2
queue,ring,100003,7,14.9541,100003,P=3;C=4;capacity=64;batch=1;bounded;strict-try;prefix-batch;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,3
queue,mutex,100003,7,22.0667,100003,P=3;C=4;capacity=64;batch=1;bounded;strict-try;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,3
queue,ring,100003,7,18.6785,100003,P=3;C=4;capacity=64;batch=1;bounded;strict-try;prefix-batch;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,4
queue,mutex,100003,7,11.3654,100003,P=3;C=4;capacity=64;batch=1;bounded;strict-try;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,4
